Fiscal Year,Grants: Grants Number,Grant Type,Grantee Name,Fiscal Sponsor,Project Title,Applicant Status,Applicant Institution Type,Applicant Arts Discipline,Type of Activity Supported,Counties Served,Number of IA Artists Engaged,Number of Non-IA Artists Engaged,Total Artists Engaged,Youth Engaged In-Person,Grant Award,Funding Returned,Grant Amount Spent,In-Kind Match,Congressional District,Senate District,House District,Cash Match,Applicant City,Applicant State,Applicant Zip,County
2015,201507,Big Yellow School Bus Grant,Audubon Middle School,Audubon Community School District,BYSB Trip to Performance at Martha-Ellen Tye Performing Arts Institute 2014-15 Youth Matinee Series,Government- Municipal,Middle School,Humanities,Concert/Performance/Reading,Audubon; Story,0,4,4,40,$200.00,$0.00,$200.00,$0.00,5,6,12,$0.00,Audubon,Iowa,50025,Audubon
2015,201507,Big Yellow School Bus Grant,Hoover Elementary School,Dubuque Community School District,BYSB Trip Dubuque Symphony Performance,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,75,75,52,$200.00,$0.00,$200.00,$0.00,1,50,99,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,Hoover Elementary School,Mason City Community School District (Inc),BYSB Trip to Performance of Laura Ingalls Wilder,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Cerro Gordo; Dubuque,0,50,50,70,$200.00,$0.00,$200.00,$0.00,4,27,53,$0.00,Mason City,Iowa,50401-6041,Dubuque
2015,201507,Big Yellow School Bus Grant,CAM North Elementary School,CAM Community School District,BYSB Trip to Musical Adventures of Flat Stanley,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Cass; Polk,0,20,20,130,$200.00,$0.00,$200.00,$0.00,5,10,20,$0.00,Anita,Iowa,50020,Cass
2015,201507,Big Yellow School Bus Grant,Archbishop Hennessy Catholic School,St Peter And Paul Parish,BYSB Trip to The Berenstain Bears Live,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,10,10,40,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Dyersville,Iowa,52040-8736,Delaware
2015,201507,Big Yellow School Bus Grant,Logan-Magnolia Elementary School,Logan-Magnolia Community School District,BYSB Trip to Margre Durham Concert for Youth,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Harrison,0,70,70,44,$200.00,$0.00,$200.00,$0.00,4,9,18,$0.00,Logan,Iowa,51546-1060,Harrison
2015,201507,Big Yellow School Bus Grant,Clay Central-Everly Elementary,Clay Central-Everly Community School District,BYSB Trip to Youth Matinee Series,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Clay; Story,0,0,0,21,$200.00,$0.00,$200.00,$0.00,4,1,2,$0.00,Royal,Iowa,51357,Clay
2015,201507,Big Yellow School Bus Grant,Graettinger-Terril Elementary School,Graettinger-Terril Community School,BYSB Trip to Youth Matinee Series,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dickinson,0,20,20,76,$200.00,$0.00,$200.00,$0.00,4,1,2,$0.00,Terill,Iowa,51364,Clay
2015,201507,Big Yellow School Bus Grant,Lawton Bronson Junior-Senior High School,Lawton Bronson Community School District,BYSB Trip to Sioux City Art Center,Government- Municipal,Secondary School,Humanities,Exhibition,Woodbury,0,5,5,26,$200.00,$0.00,$200.00,$0.00,4,3,5,$0.00,Lawton,Iowa,51030-7700,Woodbury
2015,201507,Big Yellow School Bus Grant,Arthur Elementary School,Cedar Rapids Community School District,BYSB Trip to Cedar Rapids Museum of Art,Government- Municipal,Elementary School,Humanities,Exhibition,Linn,0,15,15,27,$200.00,$0.00,$200.00,$0.00,3,33,66,$0.00,Cedar Rapids,Iowa,52405,Linn
2015,201507,Big Yellow School Bus Grant,Southeast Warren Primary,Southeast Warren Community School District,BYSB Trip to Musical Adventures of Flat Stanley,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Warren,0,15,15,30,$200.00,$0.00,$200.00,$0.00,4,13,25,$0.00,Liberty Center,Iowa,50145-7700,Warren
2015,201507,Big Yellow School Bus Grant,Williams Intermediate School,Davenport Community School District,BYSB Trip to the Lion King,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Polk; Scott,0,50,50,50,$200.00,$0.00,$200.00,$0.00,1,45,89,$0.00,Davenport,Iowa,52803-4709,Scott
2015,201507,Big Yellow School Bus Grant,Bryant Elementary,Dubuque Community School District,BYSB Trip to The Berenstain Bears Live,Government- Municipal,Elementary School,Humanities,Concert/Performance/Reading,Dubuque,0,30,30,146,$200.00,$0.00,$200.00,$0.00,1,50,99,$0.00,Dubuque,Iowa,52001,Dubuque
2015,201507,Big Yellow School Bus Grant,St. Mary's School,,BYSB Trip to Berenstain Bears,Organization- Non-Profit,Elementary School,Humanities,Concert/Performance/Reading,Black Hawk; Delaware,0,10,10,38,$200.00,$0.00,$200.00,$0.00,1,48,96,$0.00,Manchester,Iowa,52057-1502,Delaware
2015,201507,Big Yellow School Bus Grant,Community United Child Care Centers,,BYSB Trip to Phelps Youth Pavilion,Organization- Non-Profit,Child Care Provider,Humanities,Arts Instruction,Black Hawk,0,45,45,37,$200.00,$0.00,$200.00,$0.00,1,30,59,$0.00,Cedar Falls,Iowa,50613-5299,Black Hawk
2015,201507,Cultural Leadership Partners Program,Charles H. MacNider Art Museum,,CLP Funding for FY15,Government- Municipal,Art Museum,Visual Arts,Operating Support,Butler; Cerro Gordo; Floyd; Franklin; Hancock; Mitchell; Winnebago; Worth; Wright,230,0,230,7702,"$13,540.00",$0.00,"$13,540.00",$0.00,4,27,53,"$150,000.00",Mason City,Iowa,50401,Cerro Gordo
2015,201507,Cultural Leadership Partners Program,Des Moines Performing Arts,,CLP Funding for FY15,Organization- Non-Profit,Performance Facility,Theatre,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,136,313,449,88617,"$20,000.00",$0.00,"$20,000.00",$0.00,3,17,34,"$150,000.00",Des Moines,Iowa,50309,Polk
2015,201507,Cultural Leadership Partners Program,Pearson Lakes Art Center,,CLP Funding for FY15,Organization- Non-Profit,Arts Center,Visual Arts,Operating Support,Dickinson,100,115,215,1100,"$12,000.00",$0.00,"$12,000.00",$0.00,4,1,1,"$150,000.00",Okoboji,Iowa,51355,Dickinson
2015,201507,Cultural Leadership Partners Program,Englert Theatre,,CLP Funding for Fy15,Organization- Non-Profit,Performance Facility,Theatre,Operating Support,Adair; Benton; Black Hawk; Buchanan; Cedar; Clinton; Davis; Decatur; Des Moines; Dubuque; Fayette; Floyd; Grundy; Guthrie; Hancock; Harrison; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Lee; Linn; Louisa; Lyon; Madison; Marion; Muscatine; Palo Alto; Pocahontas; Polk; Poweshiek; Sioux; Tama; Van Buren; Washington; Webster; Winnebago; Winneshiek,1945,410,2355,0,"$12,000.00",$0.00,"$12,000.00",$0.00,2,43,85,"$150,000.00",Iowa City,Iowa,52240,Johnson
2015,201507,Cultural Leadership Partners Program,Grand Opera House,,CLP Funding for FY15,Organization- Non-Profit,Performance Facility,Multidisciplinary,Operating Support,Clayton; Delaware; Dubuque,750,150,900,1400,"$10,000.00",$0.00,"$10,000.00",$0.00,1,50,100,"$150,000.00",Dubuque,Iowa,52001,Dubuque
2015,201507,Cultural Leadership Partners Program,Iowa Youth Chorus,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Music,Operating Support,Dallas; Jasper; Madison; Marion; Polk; Poweshiek; Story; Warren,24,0,24,570,"$10,000.00",$0.00,"$10,000.00",$0.00,3,22,43,"$150,000.00",Windsor Heights,Iowa,50324,Polk
2015,201507,Cultural Leadership Partners Program,Legion Arts,,CLP Funding for FY15,Organization- Non-Profit,Arts Service Organization,Multidisciplinary,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,139,602,741,1729,"$10,000.00",$0.00,"$10,000.00",$0.00,3,33,65,"$150,000.00",Cedar Rapids,Iowa,52401,Linn
2015,201507,Cultural Leadership Partners Program,Metro Arts Alliance of Greater Des Moines,,CLP Funding for FY15,Organization- Non-Profit,Arts Service Organization,Multidisciplinary,Operating Support,Dallas; Polk; Warren,216,216,432,3870,"$10,000.00",$0.00,"$10,000.00",$0.00,3,21,41,"$150,000.00",Des Moines,Iowa,50312,Polk
2015,201507,Cultural Leadership Partners Program,Riverside Theatre,,CLP Funding for FY15,Organization- Non-Profit,Performance Facility,Theatre,Operating Support,Audubon; Benton; Black Hawk; Bremer; Cedar; Cerro Gordo; Clayton; Clinton; Delaware; Des Moines; Dubuque; Fayette; Hardin; Henry; Iowa; Jefferson; Johnson; Jones; Keokuk; Lee; Linn; Louisa; Muscatine; Plymouth; Polk; Poweshiek; Scott; Story; Tama; Van Buren; Washington; Woodbury,72,13,85,699,"$12,000.00",$0.00,"$12,000.00",$0.00,2,43,85,"$150,000.00",Iowa City,Iowa,52245,Johnson
2015,201507,Cultural Leadership Partners Program,Arts on Grand,,CLP Funding for FY15,Organization- Non-Profit,Gallery/Exhibit Space,Visual Arts,Operating Support,Buena Vista; Cherokee; Clay; Dickinson; Emmet; O'Brien; Palo Alto; Pocahontas; Sioux,145,43,188,2250,"$10,000.00",$0.00,"$10,000.00",$0.00,4,1,2,"$150,000.00",Spencer,Iowa,51301,Clay
2015,201507,Cultural Leadership Partners Program,Summer of the Arts,,CLP Funding for FY15,Organization- Non-Profit,Fair/Festival,Multidisciplinary,Operating Support,Allamakee; Appanoose; Benton; Black Hawk; Bremer; Buchanan; Butler; Cedar; Cerro Gordo; Chickasaw; Clayton; Clinton; Davis; Delaware; Des Moines; Dubuque; Fayette; Floyd; Franklin; Grundy; Hardin; Henry; Howard; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Linn; Louisa; Mahaska; Marion; Marshall; Mitchell; Monroe; Muscatine; Polk; Poweshiek; Scott; Story; Tama; Van Buren; Wapello; Washington; Winneshiek; Worth,694,210,904,10000,"$10,000.00",$0.00,"$10,000.00",$0.00,2,43,85,"$150,000.00",Iowa City,Iowa,52244-3128,Johnson
2015,201507,Cultural Leadership Partners Program,Blank Park Zoo,,CLP Funding for FY15,Organization- Non-Profit,None of the Above,Non-Arts/Non-Humanities,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,75,75,150,305141,"$20,000.00",$0.00,"$20,000.00",$0.00,3,17,34,"$150,000.00",Des Moines,Iowa,50315,Polk
2015,201507,Cultural Leadership Partners Program,Brucemore,,CLP Funding for FY15,Organization- Non-Profit,None of the Above,Humanities,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,490,35,525,12500,"$17,770.00",$0.00,"$17,770.00",$0.00,3,33,65,"$150,000.00",Cedar Rapids,Iowa,52403,Linn
2015,201507,Cultural Leadership Partners Program,National Mississippi River Museum & Aquarium,,CLP Funding for FY15,Organization- Non-Profit,Other Museum,Multidisciplinary,Operating Support,Allamakee; Benton; Black Hawk; Boone; Bremer; Buchanan; Cedar; Clayton; Clinton; Dallas; Delaware; Des Moines; Dubuque; Fayette; Iowa; Jackson; Jasper; Johnson; Jones; Lee; Linn; Louisa; Marshall; Muscatine; Polk; Scott; Story; Tama; Warren; Webster; Winneshiek; Woodbury,51,0,51,81000,"$20,000.00",$0.00,"$20,000.00",$0.00,1,50,100,"$150,000.00",Dubuque,Iowa,52001,Dabuque
2015,201507,Cultural Leadership Partners Program,Family Museum of Arts and Science,,CLP Funding for FY15,Organization- Non-Profit,Other Museum,Multidisciplinary,Operating Support,Clinton; Muscatine; Scott,9,6,15,3328,"$15,000.00",$0.00,"$15,000.00",$0.00,1,47,93,"$150,000.00",Bettendorf,Iowa,52722,Scott
2015,201507,Cultural Leadership Partners Program,Iowa Children's Museum,,CLP Funding for FY15,Government- Municipal,Other Museum,Multidisciplinary,Operating Support,Appanoose; Benton; Black Hawk; Bremer; Buchanan; Butler; Cedar; Clayton; Clinton; Davis; Delaware; Des Moines; Dubuque; Fayette; Franklin; Grundy; Hamilton; Hardin; Henry; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Lee; Linn; Louisa; Lucas; Mahaska; Marion; Marshall; Monroe; Muscatine; Polk; Pottawattamie; Scott; Story; Tama; Van Buren; Wapello; Warren; Washington; Wayne; Wright,42,0,42,110500,"$15,000.00",$0.00,"$15,000.00",$0.00,2,37,74,"$150,000.00",Coralville,Iowa,52241,Johnson
2015,201507,Cultural Leadership Partners Program,Living History Farms,,CLP Funding for FY15,Organization- Non-Profit,None of the Above,Humanities,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,8,2,10,50865,"$20,000.00",$0.00,"$20,000.00",$0.00,3,20,40,"$150,000.00",Urbandale,Iowa,50322,Polk
2015,201507,Cultural Leadership Partners Program,National Czech & Slovak Museum & Library,,CLP Funding for FY15,Organization- Non-Profit,Other Museum,Humanities,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,25,37,62,4672,"$20,000.00",$0.00,"$20,000.00",$0.00,3,35,69,"$150,000.00",Cedar Rapids,Iowa,52404,Linn
2015,201507,Cultural Leadership Partners Program,Putnam Museum and Science Center,,CLP Funding for FY15,Organization- Non-Profit,Other Museum,Humanities,Operating Support,Cedar; Des Moines; Jackson; Johnson; Muscatine; Scott,5,7,12,61896,"$20,000.00",$0.00,"$20,000.00",$0.00,1,45,90,"$150,000.00",Davenport,Iowa,52804,Scott
2015,201507,Cultural Leadership Partners Program,Salisbury House,,CLP Funding for FY15,Organization- Non-Profit,None of the Above,Humanities,Operating Support,Adair; Black Hawk; Boone; Calhoun; Cass; Cerro Gordo; Chickasaw; Dallas; Davis; Delaware; Des Moines; Dubuque; Guthrie; Humboldt; Ida; Jasper; Johnson; Kossuth; Lucas; Madison; Mahaska; Marion; Marshall; Polk; Pottawattamie; Story; Tama; Union; Wapello; Warren; Washington; Webster; Winnebago; Woodbury; Wright,125,4,129,1400,"$12,000.00",$0.00,"$12,000.00",$0.00,3,21,41,"$150,000.00",Des Moines,Iowa,50312,Polk
2015,201507,Cultural Leadership Partners Program,Science Center of Iowa,,CLP Funding for FY15,Organization- Non-Profit,None of the Above,Multidisciplinary,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,115,0,115,237484,"$20,000.00",$0.00,"$20,000.00",$0.00,3,17,34,"$150,000.00",Des Moines,Iowa,50309,Polk
2015,201507,Cultural Leadership Partners Program,Sioux City Public Museum,,CLP Funding for FY15,Organization- Non-Profit,Art Museum,Humanities,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright; OutState,0,0,0,30010,"$12,000.00",$0.00,"$12,000.00",$0.00,4,7,13,"$150,000.00",Sioux City,Iowa,51101,Woodbury
2015,201507,Cultural Leadership Partners Program,Vesterheim Norwegian-American Museum,,CLP Funding for FY15,Organization- Non-Profit,Other Museum,Humanities,Operating Support,Allamakee; Bremer; Chickasaw; Clayton; Fayette; Winneshiek,23,148,171,1667,"$20,000.00",$0.00,"$20,000.00",$0.00,4,28,55,"$150,000.00",Decorah,Iowa,52101-1733,Winneshiek
2015,201507,Cultural Leadership Partners Program,Sioux City Art Center,,CLP Funding for FY15,Organization- Non-Profit,Arts Center,Visual Arts,Operating Support,Buena Vista; Carroll; Cherokee; Crawford; Harrison; Ida; Lyon; Monona; O'Brien; Plymouth; Sac; Sioux; Woodbury,51,13,64,31270,"$15,000.00",$0.00,"$15,000.00",$0.00,4,7,13,"$150,000.00",Sioux City,Iowa,51101,Woodbury
2015,201507,Cultural Leadership Partners Program,Ballet Quad Cities,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Dance,Operating Support,Benton; Black Hawk; Buchanan; Cedar; Clinton; Iowa; Jackson; Johnson; Jones; Linn; Louisa; Marion; Muscatine; Polk; Scott; Washington; Rock Island,125,95,220,10000,"$10,000.00",$0.00,"$10,000.00",$0.00,2,45,90,"$150,000.00",Rock Island,Iowa,61201,Rock Island
2015,201507,Cultural Leadership Partners Program,Orchestra Iowa,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Music,Operating Support,Benton; Cedar; Davis; Henry; Iowa; Jefferson; Johnson; Jones; Keokuk; Linn; Muscatine; Van Buren; Wapello; Washington,115,35,150,20000,"$20,000.00",$0.00,"$20,000.00",$0.00,3,35,69,"$150,000.00",Cedar Rapids,Iowa,52401,Linn
2015,201507,Cultural Leadership Partners Program,Des Moines Metro Opera,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Opera/Musical Theatre,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,17,116,133,23988,"$20,000.00",$0.00,"$20,000.00",$0.00,4,13,26,"$150,000.00",Indianola,Iowa,50125,Warren
2015,201507,Cultural Leadership Partners Program,Des Moines Symphony Orchestra,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Music,Operating Support,Adair; Adams; Allamakee; Appanoose; Audubon; Benton; Black Hawk; Boone; Bremer; Buchanan; Buena Vista; Butler; Calhoun; Carroll; Cass; Cedar; Cerro Gordo; Cherokee; Chickasaw; Clarke; Clay; Clayton; Clinton; Crawford; Dallas; Davis; Decatur; Delaware; Des Moines; Dickinson; Dubuque; Emmet; Fayette; Floyd; Franklin; Fremont; Greene; Grundy; Guthrie; Hamilton; Hancock; Hardin; Harrison; Henry; Howard; Humboldt; Ida; Iowa; Jackson; Jasper; Jefferson; Johnson; Jones; Keokuk; Kossuth; Lee; Linn; Louisa; Lucas; Lyon; Madison; Mahaska; Marion; Marshall; Mills; Mitchell; Monona; Monroe; Montgomery; Muscatine; O'Brien; Osceola; Page; Palo Alto; Plymouth; Pocahontas; Polk; Pottawattamie; Poweshiek; Ringgold; Sac; Scott; Shelby; Sioux; Story; Tama; Taylor; Union; Van Buren; Wapello; Warren; Washington; Wayne; Webster; Winnebago; Winneshiek; Woodbury; Worth; Wright,239,64,303,5680,"$20,000.00",$0.00,"$20,000.00",$0.00,3,17,34,"$150,000.00",Des Moines,Iowa,50309,Polk
2015,201507,Cultural Leadership Partners Program,Dubuque Symphony Orchestra,,CLP Funding for FY15,Organization- Non-Profit,Performing Group,Music,Operating Support,Clayton; Clinton; Delaware; Dubuque; Jackson; Jones; Linn; Webster,158,135,293,4902,"$12,000.00",$0.00,"$12,000.00",$0.00,1,50,99,"$150,000.00",Dubuque,Iowa,52001,Dubuque
2015,201507,Cultural Leadership Partners Program,Des Moines Art Center,,CLP Funding for FY15,Organization- Non-Profit,Arts Center,Visual Arts,Operating Support,Boone; Dallas; Jasper; Madison; Marion; Marshall; Polk; Story; Warren,94,8,102,19420,"$20,000.00",$0.00,"$20,000.00",$0.00,3,21,41,"$150,000.00",Des Moines,Iowa,50312,Polk
2015,201507,Cultural Leadership Partners Program,Muscatine Art Center,,CLP Funding for FY15,Government- Municipal,Arts Center,Humanities,Operating Support,Cedar; Clinton; Des Moines; Henry; Johnson; Linn; Louisa; Muscatine; Scott,62,5,67,6780,"$13,540.00",$0.00,"$13,540.00",$0.00,2,46,91,"$150,000.00",Muscatine,Iowa,52761,Muscatine
